DATE,DC_ACTUAL,DC_PREDICTED,PERF_RATIO
2020-05-15,666607.630952381,8238970.9100597575,0.10056784182552356
2020-05-16,566822.5571428571,6966650.348475149,0.12666898741706267
2020-05-17,556236.9182051282,6359393.314291692,0.08892055332484967
2020-05-18,530773.6771428571,6443214.012091282,0.0858554787697031
2020-05-19,443495.847014652,5960584.2468048185,0.07885920823354912
2020-05-20,352374.3788095238,5193689.919930954,0.0817435234696432
2020-05-21,494112.26,6401843.175666739,0.08706618127303141
2020-05-22,498711.3276190476,6653588.5581747,0.1032522650280632
2020-05-23,501823.29476190475,6641433.866539656,0.0857256735130909
2020-05-24,479293.53714285715,6510171.349003277,0.084237682689042
2020-05-25,582787.339047619,6334211.614738167,0.12832022602383275
2020-05-26,576620.0909523809,6491855.710208905,0.09662051325340526
2020-05-27,445436.7487912088,6471917.474404558,0.08064571267344227
2020-05-28,499034.033003663,6624126.097245423,0.082927180546096
2020-05-29,496059.2485814186,5788508.709148916,0.09091312007491789
2020-05-30,614530.6047619048,6960937.302523723,0.09363759904366763
2020-05-31,556847.6452380952,5663301.817129179,0.09662369742782984
2020-06-01,372058.9845970696,3939193.035328703,0.09860970969996015
2020-06-02,519491.96476190473,6869362.463978866,0.11820099920692646
2020-06-03,414845.16619047616,5088870.556614604,0.09125993284680187
2020-06-04,474970.40714285715,5927852.527907277,0.0898222871888225
2020-06-05,518707.5147619048,6376437.4353153035,0.09078288399714768
2020-06-06,527117.0547619048,7506878.106580374,0.08061395819752036
2020-06-07,473278.9319047619,7113942.837734791,0.0778745427264844
2020-06-08,604333.8646520147,7780259.500154196,0.08834494680998732
2020-06-09,554027.089047619,7061392.777066701,0.08523608971695107
2020-06-10,393589.7703896104,5506104.942377567,0.08669063858532493
2020-06-11,342752.8541391941,3561620.7805302846,0.10438025263101045
2020-06-12,411233.86285714287,4138650.9451474855,0.10678424774736284
2020-06-13,455305.79047619045,6290256.961518887,0.0829570558472099
2020-06-14,505911.4519047619,6565869.628828945,0.08251459131735672
2020-06-15,410998.9095238095,5369189.388222883,0.08328098059393249
2020-06-16,480810.06857142854,4958106.131223204,0.09953181449763861
2020-06-17,380211.24047619046,3821604.566830978,0.14480855544564064
