DATE,TOTAL_AC_FORECAST,TOTAL_AC_FORECAST_kWh
2020-06-18,494384.581974552,123596.145493638
2020-06-19,511181.5689451162,127795.39223627905
2020-06-20,741374.1529823912,185343.5382455978
2020-06-21,641885.4683750506,160471.36709376264
2020-06-22,592162.0509198416,148040.5127299604
2020-06-23,547533.8327264393,136883.45818160984
2020-06-24,523352.2890777228,130838.0722694307
