DATE,DC_ACTUAL,DC_PREDICTED,PERF_RATIO
2020-05-15,5627239.14287174,5645838.000256293,0.9982184204329982
2020-05-16,5806137.51787943,5803329.396297655,1.0004498132235111
2020-05-17,6759594.5476113,6771814.271931121,0.9812947160875061
2020-05-18,4812548.5357064,4812839.304277685,0.984489567459987
2020-05-19,5437954.85120532,5436158.190638564,0.9858303806815351
2020-05-20,5375585.77019652,5375899.178218196,1.0010700784542261
2020-05-21,6781068.1452019,6772127.778619311,1.0019294819693736
2020-05-22,6420684.50121699,6407348.9989737095,1.0013904670450964
2020-05-23,7630217.18213866,7634261.550202989,0.9989563612571488
2020-05-24,7160353.89284891,7170366.174877319,0.9977771886652601
2020-05-25,7898965.11305902,7899979.936577288,0.9991871889913748
2020-05-26,7052704.9285752,7054361.215668755,0.9942925376921189
2020-05-27,5985527.1035714,5992700.093500415,0.9967553339501456
2020-05-28,7501395.16904485,7499901.337566137,1.0019982008897221
2020-05-29,7295130.2143153,7296870.011351298,0.9973815571364194
2020-05-30,6502312.89286153,6510675.565390842,0.9990750765412372
2020-05-31,5378552.5000112,5376593.75619804,1.0008206192322222
2020-06-01,5210134.03333625,5220399.915902447,0.9977306439061797
2020-06-02,6631810.88096348,6631114.591174826,0.9988331089649873
2020-06-03,6702893.2678688,6702725.381700899,1.0003102330170424
2020-06-04,7321031.45829891,7310975.21917642,1.0012781207416221
2020-06-05,6898473.83341526,6891531.3271468235,1.000332988116279
2020-06-06,5730938.50002342,5717712.778128747,1.001195521504501
2020-06-07,6876444.16067627,6885984.353797443,1.0005797079377037
2020-06-08,7470115.06309276,7473262.049302461,1.000105582292056
2020-06-09,7234008.89295022,7229938.315798331,1.0004880636678806
2020-06-10,5784039.52143814,5779864.370659468,1.0001649562449226
2020-06-11,5045678.57143236,5047061.4251742065,1.000156729992217
2020-06-12,5222353.91071287,5222335.193934973,0.9996185477234415
2020-06-13,7593776.26783651,7600750.33682923,0.9994549863565253
2020-06-14,6350494.5893161,6347914.773737272,1.0008448746085234
2020-06-15,6055535.91074581,6057687.971660135,0.9993486818664717
2020-06-16,5572501.26387953,5581212.66168222,0.9904233714426092
2020-06-17,5317779.82146371,5324094.748363656,0.9887078929209783
