SOURCE_KEY,PERF_MEAN,PERF_MIN,PERF_STD,AC_ACTUAL,NEEDS_MAINTENANCE,PERF_MEAN_%,PERF_MIN_%
bvBOhCH3iADSZry,0.9225499337095159,0.8499240272929335,0.017175765917991054,903171.7641533484,False,92.25,84.99
1BY6WEcLGh8j5v7,0.9356708470307828,0.8483439911377946,0.020622975729604767,916133.87044418,False,93.57,84.83
ih0vzX44oOqAx2f,0.9839602810661651,0.9399312240167064,0.014102107230875353,963327.969069014,False,98.4,93.99
ZoEaEvLYb1n2sOq,0.9936706435961578,0.9697899725861062,0.008957211268424383,973174.0110000233,False,99.37,96.98
7JYdWkrLSPkdwr4,0.9946810834881572,0.9763767621418216,0.010023851743366946,974227.6025361972,False,99.47,97.64
WRmjgnKYAwPKWDb,0.9985580884998952,0.9644963101730649,0.014295667445948292,977854.9709712783,False,99.86,96.45
zBIq5rxdHJRwDNY,0.9987400804435245,0.9354339360984547,0.023031396847884696,977429.9354331454,False,99.87,93.54
z9Y9gH1T5YWrNuG,0.9992189977171556,0.9482196696796414,0.017051565223376374,977896.8598834436,False,99.92,94.82
sjndEbLyjtCKgGv,1.0002132893158564,0.943824665833368,0.011803277713650114,979133.8681295832,False,100.02,94.38
YxYtjZvoooNbGkE,1.0002702098448055,0.9674706547808227,0.010352019772846506,979702.7889511107,False,100.03,96.75
rGa61gmuvPhdLxV,1.0018295224820957,0.9623730927041345,0.01551806215445645,980959.7082257747,False,100.18,96.24
pkci93gMrogZuBj,1.0027951595512297,0.9523746083895521,0.0167763975669875,982329.325487513,False,100.28,95.24
wCURE6d3bPkepu2,1.008834017665572,0.9520265837890318,0.015241977462454525,987605.7235447172,False,100.88,95.2
zVJPv84UY57bAof,1.0098823910993446,0.9744489885606448,0.013011653376968926,989078.5746861799,False,100.99,97.44
uHbuxQJl8lW7ozc,1.0120673279602848,0.964743567789098,0.015267710206476862,991199.0771092299,False,101.21,96.47
iCRJl6heRkivqQ3,1.0121216089799128,0.9932032088915379,0.008724066146836568,991381.1114932591,False,101.21,99.32
ZnxXDlPa8U1GXgE,1.0131161963375097,0.9856620793044807,0.011153165514835965,992302.2168911956,False,101.31,98.57
3PZuoBAID5Wc2HD,1.0187308018217638,0.9858267773171592,0.014434652981866804,998142.1291606114,False,101.87,98.58
VHMLBKoKgIrUVDU,1.019130644934489,0.9935338661166416,0.011267887838318254,998065.3393519856,False,101.91,99.35
1IF53ai7Xc0U56Y,1.0199953847277003,0.9817026692429448,0.013794030583504055,999178.4232790347,False,102.0,98.17
McdE0feGgRqW7Ca,1.0200852962239397,0.9680192315411901,0.014836034029006719,998608.3536365111,False,102.01,96.8
adLQvlD726eNBSB,1.0335421417420232,1.0002006231974525,0.014830797797984617,1012501.5147524367,False,103.35,100.02
