SOURCE_KEY,AC_ACTUAL,AC_PREDICTED,PERF_RATIO,ABS_ERROR,TOTAL_ACTUAL,STATUS
bvBOhCH3iADSZry,504.28350874000466,546.7474175199017,0.9153460700478041,47.84052074454721,903171.7641533484,OK
1BY6WEcLGh8j5v7,511.5208656863093,546.7474175199017,0.9296139035207148,45.056263516630366,916133.87044418,OK
ih0vzX44oOqAx2f,537.8715628526041,546.7474175199017,0.9843703879686388,21.01539301602133,963327.969069014,OK
ZoEaEvLYb1n2sOq,543.3690737018555,546.7474175199017,0.9899336132286455,17.35121384393664,973174.0110000233,OK
7JYdWkrLSPkdwr4,543.9573436829688,546.7474175199017,0.991732733074793,19.443951031934333,974227.6025361972,OK
zBIq5rxdHJRwDNY,545.7453575841124,546.7474175199017,0.9938858224575668,22.689486936705762,977429.9354331454,OK
z9Y9gH1T5YWrNuG,546.0060635865124,546.7474175199017,0.9964507590575569,25.725487513971608,977896.8598834436,OK
YxYtjZvoooNbGkE,547.0143991910165,546.7474175199017,0.9975985176008578,16.735513992054976,979702.7889511107,OK
rGa61gmuvPhdLxV,547.7161966643075,546.7474175199017,0.9982912513995202,25.981638825737715,980959.7082257747,OK
sjndEbLyjtCKgGv,546.6967437909453,546.7474175199017,0.9984237701527089,18.399200630273803,979133.8681295832,OK
WRmjgnKYAwPKWDb,545.9826750258394,546.7474175199017,0.9991649477223121,29.151860747397635,977854.9709712783,OK
pkci93gMrogZuBj,548.4809187534969,546.7474175199017,0.9996811933140292,28.30928366965885,982329.325487513,OK
zVJPv84UY57bAof,552.2493437667113,546.7474175199017,1.001046021133582,23.856402437455397,989078.5746861799,OK
iCRJl6heRkivqQ3,553.5349589577103,546.7474175199017,1.0032050292872794,19.730501520201557,991381.1114932591,OK
wCURE6d3bPkepu2,551.4269813203334,546.7474175199017,1.0054159404008014,22.510760854807973,987605.7235447172,OK
uHbuxQJl8lW7ozc,553.4333205523338,546.7474175199017,1.0085875406713387,29.90877971389072,991199.0771092299,OK
ZnxXDlPa8U1GXgE,554.0492556623091,546.7474175199017,1.011931632117517,20.88002677444147,992302.2168911956,OK
VHMLBKoKgIrUVDU,557.2670794818457,546.7474175199017,1.0127253246614754,23.792944652838298,998065.3393519856,OK
3PZuoBAID5Wc2HD,557.3099548635463,546.7474175199017,1.0180179646371097,29.06869192902849,998142.1291606114,OK
McdE0feGgRqW7Ca,557.5702700371363,546.7474175199017,1.0209065872371546,25.290652033900848,998608.3536365111,OK
1IF53ai7Xc0U56Y,557.8885668782997,546.7474175199017,1.0239755631070455,25.42697516210725,999178.4232790348,OK
adLQvlD726eNBSB,565.3274789237503,546.7474175199017,1.0464610878751621,30.766295435728168,1012501.5147524367,OK
