SOURCE_KEY,DC_ACTUAL,DC_PREDICTED,PERF_RATIO,ABS_ERROR,STATUS
Quc1TzYxW2pYoWX,303.3144432334788,5407.335642814328,0.0714654118414042,5104.066398026005,⚠ Underperforming
Et9kgGMDl729KT4,329.53208272959915,5407.335642814328,0.07918443747337645,5077.85881883202,⚠ Underperforming
LYwnQax7tkwH5Cb,343.5528141894804,5443.3829981447925,0.0834715358080545,5099.892213486916,⚠ Underperforming
rrq4fwE8jgrTyWY,366.0831609461967,5443.3829981447925,0.08443946186942021,5077.361921488672,⚠ Underperforming
81aHJ1q11NBPMrL,403.95552970481003,5443.3829981447925,0.08964480290651049,5039.489908069977,⚠ Underperforming
q49J1IKaHRwDQnt,395.843363850167,5443.3829981447925,0.09024580042124086,5047.607311619182,⚠ Underperforming
WcxssY2VbP4hApt,429.2957230766012,5443.3829981447925,0.09216521697488807,5014.1489663241355,⚠ Underperforming
PeE6FRyGXUgsRhN,435.2732429949213,5443.3829981447925,0.09287538439016974,5008.17120703187,⚠ Underperforming
xoJJ8DcxJEcupym,421.6868595292105,5443.3829981447925,0.09301845747393306,5021.756800768156,⚠ Underperforming
LlT2YUhhzqhg5Sw,429.67835979809666,5443.3829981447925,0.09350827533313916,5013.770862037166,⚠ Underperforming
9kRcWv60rDACzjR,428.2076191428514,5443.3829981447925,0.09505616863263294,5015.242764212408,⚠ Underperforming
oZZkBaNadn6DNKz,447.92983717455115,5443.3829981447925,0.09665141797111967,4995.5208626604335,⚠ Underperforming
V94E5Ben1TlhnDV,458.84778138036324,5443.3829981447925,0.09669725102413018,4984.600812679981,⚠ Underperforming
Qf4GUc1pJu5T6c6,487.99798593005164,5407.335642814328,0.0990350715098702,4919.39962042389,⚠ Underperforming
vOuJvMaM2sgwLmb,458.73836783561944,5443.3829981447925,0.09991397596843306,4984.7187473301565,⚠ Underperforming
4UPUqMRk7TRMgml,486.2711645742385,5407.335642814328,0.10179631039995966,4921.124533465129,⚠ Underperforming
oZ35aAeoifZaQzV,485.0141594122772,5407.335642814328,0.101960096617403,4922.3881379747745,⚠ Underperforming
Mx2yZCDsyf6DPfv,498.9683675662237,5407.335642814328,0.10322368097021323,4908.432223884755,⚠ Underperforming
NgDl19wMapZy17u,474.6820305081801,4926.808403174983,0.10342791868979692,4452.1800787463135,⚠ Underperforming
mqwcsP2rE7J0TFp,478.46453311611015,4926.808403174983,0.10584110994509009,4448.40187719656,⚠ Underperforming
xMbIugepa2P7lBB,487.1601369945456,4926.808403174983,0.10618162286465643,4439.705450000316,⚠ Underperforming
IQ2d7wF4YD8zU1Q,495.5129838467845,4926.808403174983,0.10728935545307983,4431.350672237199,⚠ Underperforming
