SOURCE_KEY,DC_ACTUAL,DC_PREDICTED,PERF_RATIO,ABS_ERROR,STATUS
bvBOhCH3iADSZry,5091.551401686532,5615.081605300445,0.9059400197123816,568.3490514809324,✓ Normal
1BY6WEcLGh8j5v7,5173.353866977448,5618.227599266375,0.9202256582837623,535.625336003136,✓ Normal
ih0vzX44oOqAx2f,5556.358351058986,5640.5542038686335,0.9871612583983208,230.44366817466883,✓ Normal
ZoEaEvLYb1n2sOq,5621.059421438056,5643.85341794168,0.9901799472105971,191.33179538437747,✓ Normal
z9Y9gH1T5YWrNuG,5609.7741936089915,5640.678315797869,0.9922204750547984,297.6538906740319,✓ Normal
zBIq5rxdHJRwDNY,5624.543098502331,5637.44768675102,0.9935626431196601,256.84319370543574,✓ Normal
7JYdWkrLSPkdwr4,5618.403260005609,5634.159642610314,0.9959164290062066,210.52876142249642,✓ Normal
sjndEbLyjtCKgGv,5636.2159803631575,5640.678315797869,0.9968723760737003,211.87994924858174,✓ Normal
YxYtjZvoooNbGkE,5665.410412226194,5650.19930041451,0.9973739815283235,183.49985810252477,✓ Normal
WRmjgnKYAwPKWDb,5664.069464967012,5658.133067245058,1.0002908351091253,317.1065137208697,✓ Normal
rGa61gmuvPhdLxV,5663.016998913501,5640.678315797869,1.0004634235423882,284.93161097363026,✓ Normal
zVJPv84UY57bAof,5705.975476862138,5640.678315797869,1.001280020421063,263.5636434728605,✓ Normal
pkci93gMrogZuBj,5667.596360837148,5637.44768675102,1.0017877769414578,308.50601125996263,✓ Normal
wCURE6d3bPkepu2,5675.688842295599,5640.678315797869,1.0028848252217624,257.5807020688169,✓ Normal
iCRJl6heRkivqQ3,5720.351294820543,5637.44768675102,1.0052987876261896,219.09468638540162,✓ Normal
uHbuxQJl8lW7ozc,5718.993556728654,5637.44768675102,1.0119496012427847,325.6865809557753,✓ Normal
ZnxXDlPa8U1GXgE,5732.45699339633,5643.729234847348,1.0153319192157662,225.2246561871785,✓ Normal
VHMLBKoKgIrUVDU,5756.86967930213,5634.159642610314,1.0168457530394064,255.5726749737969,✓ Normal
3PZuoBAID5Wc2HD,5781.880752980905,5658.133067245058,1.0191889948733146,314.54103670086204,✓ Normal
McdE0feGgRqW7Ca,5749.068098696263,5640.678315797869,1.019309708894791,282.103343193734,✓ Normal
1IF53ai7Xc0U56Y,5789.258134551462,5658.133067245058,1.0258910660711342,274.83220409927156,✓ Normal
adLQvlD726eNBSB,5866.768888649166,5658.133067245058,1.0493804249071927,328.85913904093354,✓ Normal
