Model,MAE,RMSE,R²,CV R² (5-fold)
Gradient Boosting,28.420866000152127,55.457521272368595,0.6559043729275256,0.7033490285977587
Random Forest,29.64579,55.65229881954563,0.6534830674673497,0.6899881346706283
MLP Neural Network,29.199839736409523,56.118313269562606,0.6476555275485604,0.6930547273153799
Linear Regression,30.998964428900035,56.475754101684394,0.6431527767186092,0.6836580842464997
Ridge Regression,30.99882336327748,56.475902376117105,0.6431509029449908,0.6836591939260419
XGBoost,31.113037109375,56.89126226984465,0.6378825902938843,0.655782425403595
Decision Tree,33.42244757539775,61.98592493274071,0.5701227950158341,0.6096607912066359
SVR (Numeric Pred.),32.92996815189914,63.8598722622673,0.5437379625518868,0.5768167253485109
