Model,n_clusters,noise_pct,Silhouette,Davies-Bouldin,Calinski-Harabasz
K-Means (k=3),3,0.0,0.22988127489636828,1.4807150579707893,2896.393201850238
K-Means (k=2),2,0.0,0.2184481560603886,1.6843629067380292,3519.5610890746407
"Agglomerative (k=3,ward)",3,0.0,0.20395360911001853,1.554804469745332,2534.1841029286816
"Agglomerative (k=2,ward)",2,0.0,0.20313619256653245,1.8014716885749713,3047.4913575807695
K-Means (k=4),4,0.0,0.1968262405744648,1.4803538151594535,2794.765945259403
"Agglomerative (k=3,complete)",3,0.0,0.18442962750101002,1.6202571747918897,2319.9514022563085
DBSCAN (eps=1.0),114,88.88,0.053888426298959305,1.3463808000374013,41.58395707685139
DBSCAN (eps=0.5),0,100.0,,,
DBSCAN (eps=1.5),1,15.33,,,
