Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV AUC (5-fold)
Gradient Boosting,0.914,0.8392857142857143,0.3790322580645161,0.5222222222222223,0.9028299455000737,0.8721457366603517
Logistic Regression,0.915,0.8679245283018868,0.3709677419354839,0.519774011299435,0.8909633230225366,0.8771568046832348
Random Forest,0.914,0.8958333333333334,0.3467741935483871,0.5,0.8775454779790838,0.8528586869251248
XGBoost,0.91,0.8148148148148148,0.3548387096774194,0.4943820224719101,0.8540561938429814,0.8494458527522554
Decision Tree,0.91,0.8269230769230769,0.3467741935483871,0.48863636363636365,0.8397637722786861,0.8004010485752844
MLP Neural Network,0.893,0.5858585858585859,0.46774193548387094,0.5201793721973094,0.8307556341140079,0.8084271305227476
SVC (Numeric Pred.),0.918,0.9375,0.3629032258064516,0.5232558139534884,0.7982582118132274,0.7967041839960491
