DATE,TOTAL_AC_FORECAST,TOTAL_AC_FORECAST_kWh
2020-06-18,494311.4613621815,123577.86534054538
2020-06-19,511286.78705419006,127821.69676354752
2020-06-20,742715.5440938286,185678.88602345716
2020-06-21,621244.2080670246,155311.05201675615
2020-06-22,592687.9477911416,148171.9869477854
2020-06-23,546359.3595580278,136589.83988950695
2020-06-24,520995.42536575784,130248.85634143946
