SOURCE_KEY,PERF_MEAN,PERF_MIN,PERF_STD,AC_ACTUAL,NEEDS_MAINTENANCE,PERF_MEAN_%,PERF_MIN_%
bvBOhCH3iADSZry,0.907656734308262,0.5636431048042159,0.07575589344037306,873237.550834546,False,90.77,56.36
1BY6WEcLGh8j5v7,0.9214508815710026,0.569626540902812,0.07607225067282421,886665.326068905,False,92.15,56.96
ih0vzX44oOqAx2f,0.9854961125542483,0.9163225481836622,0.020334437076644687,948272.430359176,False,98.55,91.63
z9Y9gH1T5YWrNuG,0.995566134939705,0.8322442243408568,0.034172811080071586,957316.2719057701,False,99.56,83.22
ZoEaEvLYb1n2sOq,0.9957339247128069,0.9708903178914036,0.013519030625700814,958700.484521515,False,99.57,97.09
7JYdWkrLSPkdwr4,0.9969755420693602,0.976619854321023,0.015540907746481921,959906.307337817,False,99.7,97.66
zBIq5rxdHJRwDNY,0.9982162402120589,0.9124182070914569,0.03198824021675235,960419.146543252,False,99.82,91.24
sjndEbLyjtCKgGv,0.9996847163778633,0.8924748490072759,0.02112662226790989,961917.916550348,False,99.97,89.25
WRmjgnKYAwPKWDb,1.0008206470580072,0.9626447943387882,0.019833127813157225,962138.298812722,False,100.08,96.26
YxYtjZvoooNbGkE,1.002415847447074,0.9666122101434381,0.014936894954395409,965127.75618645,False,100.24,96.66
rGa61gmuvPhdLxV,1.0039414799286597,0.9615136018533962,0.019687901638100237,966395.835123484,False,100.39,96.15
pkci93gMrogZuBj,1.0048675036120414,0.9493888796300671,0.021068168035844808,967719.414521172,False,100.49,94.94
wCURE6d3bPkepu2,1.0066746000839937,0.8374398304166655,0.03238303521569001,968521.500355858,False,100.67,83.74
zVJPv84UY57bAof,1.011187967480253,0.9455102349529888,0.02078737727936818,973677.901192192,False,101.12,94.55
uHbuxQJl8lW7ozc,1.0141672722767938,0.9617190618956167,0.020125885983801012,976462.011389841,False,101.42,96.17
iCRJl6heRkivqQ3,1.0142522813295924,0.9943301193762851,0.015103665177541768,976688.499523368,False,101.43,99.43
ZnxXDlPa8U1GXgE,1.01537817007923,0.990384622112038,0.01550608257185216,977644.316190158,False,101.54,99.04
McdE0feGgRqW7Ca,1.0196297268587393,0.9187505549579719,0.022134668317334447,981080.708216655,False,101.96,91.88
3PZuoBAID5Wc2HD,1.0210049864801167,0.9850560116463937,0.0190602779666785,982068.208928324,False,102.1,98.51
VHMLBKoKgIrUVDU,1.0215303122083412,0.992843029585765,0.016193309765969843,983449.000641625,False,102.15,99.28
1IF53ai7Xc0U56Y,1.022602878921221,0.9828165309592285,0.017385070954101335,983321.3534520069,False,102.26,98.28
adLQvlD726eNBSB,1.0361271690823504,1.0013354731043411,0.01862048278762397,996419.756662539,False,103.61,100.13
