Model,MAE,RMSE,R2,CV R2 (5-fold),EVE (CV MAE),EVE Std
Random Forest,30.5077,67.8838,0.9681,0.973,29.3872,0.9369
Decision Tree,33.6744,70.1058,0.966,0.9705,32.685,0.8459
Polynomial deg=3,35.1368,73.2858,0.9628,0.9676,34.2382,0.8108
Polynomial deg=2,37.1513,74.5584,0.9615,0.9667,36.1332,0.7608
Linear Regression,43.8271,79.823,0.9559,0.9613,43.0155,0.7415
